"run_index","run_id","mode","samples","nominal_snr_db","snr_mean_db","snr_min_db","snr_max_db","snr_std_db","channel_gain_mean_db","channel_gain_min_db","channel_gain_max_db","channel_gain_std_db","source_snr","source_gain"
"30","ui_offline_gpu_20260531_235653","offline_gpu_simulated_channel","6000","24","12.924196769666668","4","19.99608","4.11130534875335","-11.075803230333378","-20","-4.00392","4.111305348753349","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235653\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235653\simulated_channel_gain_trace_db.csv"
"31","ui_offline_gpu_20260531_235753","offline_gpu_simulated_channel","6000","24","12.919636874000043","4","19.999658","4.131320208399302","-11.080363126000009","-20","-4.000342","4.131320208399308","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235753\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260531_235753\simulated_channel_gain_trace_db.csv"
"32","ui_offline_gpu_20260601_000621","offline_gpu_simulated_channel","6000","24","12.920389550166648","4","19.998899","4.122119890571017","-11.07961044983332","-20","-4.001101","4.122119890571032","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_000621\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_000621\simulated_channel_gain_trace_db.csv"
"33","ui_offline_gpu_20260601_000852","offline_gpu_simulated_channel","6000","24","12.91890429649998","4","19.996599","4.127892415889892","-11.081095703499994","-20","-4.003401","4.12789241588989","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_000852\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_000852\simulated_channel_gain_trace_db.csv"
"34","ui_offline_gpu_20260601_000906","offline_gpu_simulated_channel","6000","24","12.913836922333358","4","19.999632","4.1062227155648126","-11.086163077666649","-20","-4.000368","4.106222715564815","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_000906\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_000906\simulated_channel_gain_trace_db.csv"
"35","ui_offline_gpu_20260601_001117","offline_gpu_simulated_channel","6000","24","12.918494260833302","4","19.993608","4.103623706912686","-11.081505739166658","-20","-4.006392","4.103623706912686","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_001117\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_001117\simulated_channel_gain_trace_db.csv"
"36","ui_offline_gpu_20260601_002127","offline_gpu_simulated_channel","6000","24","12.94450177499997","4","19.997535","4.110987667324504","-11.05549822499999","-20","-4.002465","4.110987667324499","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_002127\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_002127\simulated_channel_gain_trace_db.csv"
"37","ui_offline_gpu_20260601_002221","offline_gpu_simulated_channel","6000","24","12.902475400666685","4","19.998262","4.129164694851753","-11.09752459933335","-20","-4.001738","4.129164694851739","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_002221\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_002221\simulated_channel_gain_trace_db.csv"
"38","ui_offline_gpu_20260601_002244","offline_gpu_simulated_channel","6000","24","12.910539990500009","4","19.997437","4.129890744867304","-11.089460009500016","-20","-4.002563","4.1298907448673035","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_002244\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_002244\simulated_channel_gain_trace_db.csv"
"39","ui_offline_gpu_20260601_002408","offline_gpu_simulated_channel","6000","24","12.917437731333322","4","19.989833","4.145454483451339","-11.082562268666674","-20","-4.010167","4.145454483451339","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_002408\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_002408\simulated_channel_gain_trace_db.csv"
"40","ui_offline_gpu_20260601_002440","offline_gpu_simulated_channel","6000","24","12.88746526483334","4","19.999632","4.107662630215101","-11.112534735166657","-20","-4.000368","4.107662630215101","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_002440\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_002440\simulated_channel_gain_trace_db.csv"
"41","ui_offline_gpu_20260601_135338","offline_gpu_simulated_channel","6000","24","12.899961923999978","4","19.99432","4.134270227583589","-11.100038075999999","-20","-4.00568","4.134270227583585","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_135338\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_135338\simulated_channel_gain_trace_db.csv"
"42","ui_offline_gpu_20260601_135414","offline_gpu_simulated_channel","6000","24","12.932550855500015","4","19.997128","4.113016605734207","-11.067449144499967","-20","-4.002872","4.1130166057342175","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_135414\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_135414\simulated_channel_gain_trace_db.csv"
"43","ui_offline_gpu_20260601_210046","offline_gpu_simulated_channel","6000","24","12.906969272666666","4","19.997047","4.110861373059691","-11.093030727333334","-20","-4.002953","4.110861373059691","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_210046\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_210046\simulated_channel_gain_trace_db.csv"
"44","ui_offline_gpu_20260601_210109","offline_gpu_simulated_channel","6000","24","12.915288857833325","4","19.997631","4.099545287875942","-11.084711142166656","-20","-4.002369","4.099545287875943","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_210109\simulated_snr_trace_db.csv","data\datasets\transmission_file\Rx\ui_offline_gpu_20260601_210109\simulated_channel_gain_trace_db.csv"
